t (s),skew,phase,vpp,filt,avg,amp,rms
4.76837158203125e-07,15.4948,197.74300000000005,0.035417,0.01862,0.008229,0.008229,0.00311348
1.0784752368927002,9.565000000000001,344.339,0.032292,0.01953,0.005964,0.005964,0.0029327
2.210873603820801,-0.49,342.36,0.034375,0.02122,0.005208,0.005208,0.00271747
2.35180926322937,-0.49,342.36,0.034375,0.02122,0.005208,0.005208,0.00271747
2.389629364013672,9.415,342.36,0.0375,0.02109,0.00638,0.00638,0.00268104
2.5231363773345947,9.415,338.941,0.0375,0.02109,0.00638,0.00638,0.00268104
3.5692601203918457,-0.695,334.981,0.033333,0.01641,0.006068,0.006068,0.00280772
3.667895793914795,-0.695,334.981,0.033333,0.01641,0.006068,0.006068,0.00280772
3.713041305541992,9.315,335.34,0.042708,0.02148,0.006042,0.006042,0.00282947
3.868088960647583,9.315,335.34,0.042708,0.02148,0.006042,0.005703,0.00282747
4.0115766525268555,-0.68,335.52,0.036458,0.01875,0.005703,0.005703,0.00282747
4.056751728057861,-0.68,335.52,0.036458,0.01875,0.005703,0.005208,0.00284502
4.214428901672363,9.33,335.879,0.026042,0.01667,0.005208,0.005208,0.00284502
4.262525320053101,9.33,335.879,0.026042,0.01836,0.005521,0.005521,0.00282891
4.4093568325042725,-0.655,336.419,0.03125,0.01836,0.005521,0.005521,0.00282891
4.454205274581909,-0.655,336.419,0.03125,0.01836,0.005182,0.005182,0.00284496
4.59165358543396,9.355,336.78,0.042708,0.02344,0.005182,0.005182,0.00284496
4.630231142044067,9.355,336.78,0.042708,0.02344,0.005182,0.006693,0.00283785
4.783863306045532,-0.64,336.959,0.030208,0.01471,0.006693,0.006693,0.00283785
4.827763795852661,-0.64,336.959,0.030208,0.02096,0.00651,0.00651,0.00282539
4.973719835281372,-0.63,337.321,0.042708,0.02096,0.00651,0.00651,0.00282539
5.028571367263794,9.385,337.321,0.032292,0.01823,0.005911,0.005911,0.00280599
5.180977821350098,9.385,337.86,0.032292,0.01823,0.005911,0.005911,0.00281109
5.339574813842773,-0.61,338.04,0.036458,0.01953,0.005521,0.005521,0.00281109
5.38865327835083,-0.61,338.04,0.04375,0.02474,0.006615,0.006615,0.00283447
5.532178163528442,-0.6,338.4,0.04375,0.02474,0.006615,0.006615,0.00290607
5.696624755859375,-0.5900000000000001,338.759,0.04375,0.02383,0.006276,0.006276,0.00290607
5.735959053039551,-0.5900000000000001,338.759,0.04375,0.02383,0.006276,0.006745,0.00294918
5.90464448928833,9.42,339.121,0.040625,0.02122,0.006745,0.006745,0.00294918
5.953212738037109,9.424999999999999,339.299,0.034375,0.01823,0.006693,0.006693,0.00291911
6.1101250648498535,9.424999999999999,339.299,0.034375,0.01823,0.006693,0.007005,0.00287058
6.256427526473999,-0.565,339.66,0.034375,0.03125,0.007005,0.007005,0.00287058
6.297989368438721,-0.565,339.66,0.034375,0.03125,0.007005,0.008307,0.00284455
