t (s),skew,phase,vpp,filt,avg,amp,rms
7.152557373046875e-07,10.11,3.9610000000000127,0.0384375,0.02083,0.005313,0.005313,0.00058659
1.1295666694641113,0.41,14.759,0.0375,0.01927,0.004688,0.004688,0.00056647
1.2613272666931152,10.56,20.158999999999992,0.0375,0.01927,0.004688,0.004688,0.00056647
1.310133695602417,0.6849999999999999,20.158999999999992,0.0351042,0.01875,0.004974,0.004974,0.00057385
1.4577221870422363,0.6849999999999999,24.659,0.0351042,0.01875,0.004974,0.004974,0.00057385
1.4916815757751465,0.6849999999999999,24.659,0.0351042,0.01641,0.005026,0.005026,0.00058709
1.6149089336395264,0.82,29.52,0.0323958,0.01641,0.005026,0.005026,0.00058709
1.6473462581634521,0.82,29.52,0.0323958,0.01641,0.005026,0.005026,0.00058709
1.6889188289642334,0.9501,34.202,0.0327083,0.01836,0.004375,0.004375,0.0005731
1.8124492168426514,0.9501,34.202,0.0327083,0.01836,0.004375,0.004375,0.0005731
1.8497254848480225,0.9501,34.202,0.0327083,0.01667,0.004401,0.004401,0.00059387
2.0078413486480713,11.095,39.41899999999998,0.0317708,0.01667,0.004401,0.004401,0.00059387
2.041294813156128,11.095,39.41899999999998,0.0317708,0.01667,0.004401,0.004401,0.00059387
2.0730557441711426,11.095,39.41899999999998,0.0317708,0.01667,0.004401,0.004401,0.00059387
2.103726863861084,11.095,39.41899999999998,0.0317708,0.01732,0.004427,0.004427,0.00056363
2.228996992111206,11.270000000000001,45.72000000000003,0.0326042,0.01732,0.004427,0.004427,0.00056363
2.262166976928711,11.270000000000001,45.72000000000003,0.0326042,0.01732,0.004427,0.004427,0.00056363
2.2991442680358887,11.270000000000001,45.72000000000003,0.0372917,0.01862,0.004896,0.004896,0.00058344
2.4494988918304443,1.41,50.76,0.0372917,0.01862,0.004896,0.004896,0.00058344
2.4956905841827393,11.549999999999999,55.80200000000002,0.0467708,0.02578,0.005911,0.005911,0.00057649
2.630171537399292,11.549999999999999,55.80200000000002,0.0467708,0.02578,0.005911,0.005911,0.00057649
2.667820692062378,11.549999999999999,55.80200000000002,0.0467708,0.02578,0.005495,0.005495,0.00057206
2.7898073196411133,1.685,60.66,0.0336458,0.01797,0.005495,0.005495,0.00057206
2.824159622192383,1.685,60.66,0.0336458,0.01797,0.005495,0.005495,0.00057206
2.8609189987182617,1.815,60.66,0.0325,0.01615,0.004948,0.004948,0.0005668
2.998135805130005,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.029585838317871,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.0644121170043945,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.093949317932129,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.1228809356689453,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.152139663696289,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.18361759185791,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.213183641433716,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.2423665523529053,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.271620512008667,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.3062055110931396,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.3354883193969727,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.3646974563598633,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.3950815200805664,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.4271323680877686,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.4595754146575928,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.491093397140503,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.5204691886901855,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.550295352935791,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.5794899463653564,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.6088974475860596,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.6382079124450684,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.667327404022217,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.696884870529175,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.7266077995300293,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.755943536758423,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.785060405731201,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.814593553543091,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.843766212463379,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.8728034496307373,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.902430534362793,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.9314746856689453,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
3.9612233638763428,1.815,65.34,0.0325,0.01615,0.004948,0.004948,0.0005668
