t (s),skew,phase,vpp,filt,avg,amp,rms
7.152557373046875e-07,3.8752999999999997,139.499,0.0378125,0.0237,0.046146,0.046146,0.00130502
1.4370532035827637,-2.3449999999999998,275.58,0.0479167,0.02461,0.010078,0.010078,0.00072517
1.5605945587158203,-2.3449999999999998,275.58,0.0479167,0.02461,0.008802,0.008802,0.00070959
1.703730821609497,7.8100000000000005,281.16,0.0366667,0.01888,0.008802,0.008802,0.00070959
1.7374293804168701,7.8100000000000005,281.16,0.0366667,0.01888,0.008802,0.008802,0.00070959
1.7742552757263184,-2.045,281.16,0.0353125,0.01771,0.007682,0.007682,0.00067805
1.8972527980804443,-2.045,286.379,0.0353125,0.01771,0.007682,0.007682,0.00067805
1.9288897514343262,-2.045,286.379,0.0353125,0.01771,0.007682,0.007682,0.00067805
1.9678864479064941,8.11,291.959,0.03875,0.0194,0.006797,0.006797,0.00066631
2.115840196609497,8.11,291.959,0.03875,0.0194,0.006797,0.006797,0.00063992
2.259735584259033,-1.7750000000000001,296.101,0.0388542,0.02018,0.006328,0.006328,0.00063992
2.295340061187744,-1.7750000000000001,296.101,0.0388542,0.02018,0.006328,0.006328,0.00063992
2.332012891769409,-1.7750000000000001,296.101,0.0388542,0.02018,0.005573,0.005573,0.00062165
2.4630088806152344,8.325000000000001,299.701,0.0447917,0.02279,0.005573,0.005573,0.00062165
2.5087697505950928,8.325000000000001,299.701,0.0447917,0.02279,0.005573,0.005573,0.00062165
2.544139862060547,-1.555,304.02,0.0336458,0.01862,0.005078,0.005078,0.00060901
2.688000202178955,-1.555,304.02,0.0336458,0.01862,0.005078,0.005078,0.00060901
2.724674701690674,8.59,304.02,0.0344792,0.01771,0.004531,0.004531,0.00058987
2.846689224243164,8.59,309.24,0.0344792,0.01771,0.004531,0.004531,0.00058987
2.87898588180542,8.59,309.24,0.0344792,0.01771,0.004531,0.004531,0.00058987
2.9163410663604736,-1.28,313.921,0.0386458,0.02005,0.004219,0.004219,0.00058784
