t (s),skew,phase,vpp,filt,avg,amp,rms
4.76837158203125e-07,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.0301909446716309,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.0592772960662842,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.0886507034301758,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.1175050735473633,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.146873950958252,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.1756818294525146,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.2048461437225342,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.233823299407959,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.263228416442871,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.2924516201019287,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.3212404251098633,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.350080966949463,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.379248857498169,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.4084429740905762,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.4375355243682861,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.466243028640747,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.4955370426177979,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.5246131420135498,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.553785800933838,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.5831334590911865,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.6119060516357422,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.640871286392212,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.6699047088623047,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.699068546295166,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.7279257774353027,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.7569265365600586,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.7861320972442627,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.8154206275939941,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.8445262908935547,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.873932123184204,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.9030606746673584,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.9322168827056885,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.9612915515899658,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
1.9905567169189453,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.0214622020721436,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.050503969192505,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.0794782638549805,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.108644723892212,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.1372504234313965,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.1679258346557617,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.197120189666748,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.226195812225342,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.255385160446167,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.2837681770324707,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.313019275665283,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.3421237468719482,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.3712759017944336,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.4002702236175537,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.4295928478240967,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.458514928817749,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.4873359203338623,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.516472101211548,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.5454065799713135,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.574530601501465,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.603431224822998,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.6325576305389404,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.6613552570343018,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.6903257369995117,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.7196245193481445,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.7487549781799316,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.7776529788970947,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.806389093399048,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.8355712890625,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.8647196292877197,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.893554925918579,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.922833204269409,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.9524550437927246,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
2.9817991256713867,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.0113160610198975,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.0424652099609375,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.0716638565063477,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.1007184982299805,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.1296615600585938,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.158902406692505,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.1879823207855225,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.2170705795288086,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.2461483478546143,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.275639057159424,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.3044772148132324,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.3333871364593506,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.363771915435791,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.3931243419647217,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.42232346534729,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.4512529373168945,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
3.4807422161102295,2.68,96.48,0.044792,0.02344,0.005964,0.005964,0.00306571
