t,skew,phase,vpp,filt,avg,amp,rms
0.0,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.5243422985076904,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.6043291091918945,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.6834909915924072,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.763218879699707,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.842954158782959,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
1.9228756427764893,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.002429485321045,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.0816702842712402,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.1606411933898926,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.240402936935425,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.320289134979248,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.399533987045288,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.4790713787078857,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.55977725982666,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.6397931575775146,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.718985080718994,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.7985284328460693,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.8782577514648438,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
2.9577879905700684,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.037909746170044,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.118098497390747,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.1994576454162598,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.279021739959717,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.359015464782715,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.4387426376342773,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.518641710281372,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.5983474254608154,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.6775379180908203,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.756955146789551,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.836533546447754,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.9162755012512207,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
3.995816946029663,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.075430154800415,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.154629230499268,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.234285354614258,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.314008712768555,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.393550395965576,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.473403215408325,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.552952289581299,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.632886648178101,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.712574481964111,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.7921648025512695,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.872418642044067,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
4.952321767807007,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.031888246536255,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.111419439315796,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.191140174865723,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.27113938331604,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.350830078125,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.430392026901245,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.511454105377197,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.59120512008667,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.6714253425598145,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.750956773757935,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.831024646759033,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.910839080810547,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
5.990032434463501,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.069066524505615,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.1485841274261475,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.229779243469238,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.309605598449707,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.388883590698242,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.467777729034424,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.547539949417114,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.627047061920166,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.7068400382995605,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.7870190143585205,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.866710901260376,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
6.946235179901123,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.026066780090332,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.105533123016357,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.184929370880127,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.264438152313232,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.344446659088135,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.42373251914978,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.5033118724823,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.582864046096802,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.662033557891846,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
7.741717338562012,2.1249,150.435,0.055208,0.02799,0.025521,0.025521,0.00385128
