t (s),skew,phase,vpp,filt,avg,amp,rms
4.76837158203125e-07,nan,nan,0.028125,0.02109,0.039688,0.039688,0.0013248
0.9877181053161621,nan,nan,nan,nan,nan,0.035625,0.00131666
1.5360023975372314,14.44,159.84000000000003,0.035625,0.01849,0.035625,0.017604,0.00097238
1.7451143264770508,11.690000000000001,60.84100000000001,0.0352083,0.01823,0.012031,0.012031,0.00086806
1.9607484340667725,12.265,81.541,0.0366667,0.01888,0.012031,0.012031,0.00083513
2.1652839183807373,0.73,26.279,0.0326042,0.01667,0.009167,0.007396,0.00079408
2.382023811340332,3.92,141.112,0.034375,0.01836,0.007396,0.007396,0.00079408
2.470219850540161,-5.11,141.112,0.0346875,0.01719,0.00638,0.00638,0.00075742
2.670381546020508,-5.11,176.04,0.0346875,0.01719,0.00651,0.00651,0.00074051
2.856731653213501,4.8999999999999995,176.403,0.0407292,0.02148,0.005599,0.005599,0.00070528
3.047055721282959,-5.105,176.219,0.036875,0.01979,0.005599,0.006328,0.00069312
3.218780040740967,5.035,181.261,0.0391667,0.01966,0.006328,0.006328,0.00067785
3.4181406497955322,-4.845000000000001,185.588,0.0336458,0.01693,0.005599,0.005104,0.00066254
3.628479480743408,5.29,190.44,0.0376042,0.01953,0.00474,0.00474,0.00065802
3.8265769481658936,-4.585,194.94,0.035,0.02161,0.004219,0.004219,0.00063753
4.018659830093384,5.6049999999999995,201.779,0.04,0.01914,0.004036,0.004036,0.00063315
4.216214179992676,-4.235,207.539,0.0378125,0.01966,0.003802,0.003802,0.00062447
4.40491795539856,5.92,213.12,0.0395833,0.01966,0.004323,0.004323,0.00061776
4.589806079864502,-3.955,217.62,0.0379167,0.02148,0.005469,0.005469,0.0006064
